t[s],Uc1[V],Uc2,Uc3,Uc4,Uc5,Uc6
416,1.52,2.29,2.2,2.3,2.34,2.37
417,1.52,2.29,2.21,2.3,2.33,2.37
418,1.52,2.3,2.2,2.3,2.33,2.37
419,1.53,2.29,2.2,2.3,2.33,2.38
420,1.53,2.29,2.2,2.3,2.34,2.37
421,1.53,2.29,2.2,2.3,2.34,2.37
422,1.53,2.29,2.21,2.29,2.34,2.37
423,1.53,2.3,2.2,2.29,2.34,2.37
424,1.54,2.29,2.2,2.3,2.33,2.38
425,1.54,2.29,2.2,2.3,2.34,2.37
426,1.54,2.29,2.2,2.3,2.34,2.37
427,1.54,2.29,2.2,2.3,2.34,2.37
428,1.54,2.3,2.2,2.3,2.33,2.37
429,1.55,2.29,2.2,2.3,2.33,2.38
430,1.55,2.29,2.2,2.3,2.33,2.38
431,1.55,2.29,2.2,2.3,2.34,2.37
432,1.55,2.29,2.2,2.3,2.34,2.37
433,1.55,2.3,2.2,2.29,2.34,2.37
434,1.56,2.29,2.2,2.3,2.33,2.38
435,1.56,2.29,2.2,2.3,2.33,2.38
436,1.56,2.29,2.2,2.3,2.34,2.37
437,1.56,2.3,2.19,2.3,2.34,2.37
438,1.56,2.3,2.2,2.29,2.34,2.37
439,1.57,2.29,2.2,2.3,2.33,2.37
440,1.57,2.29,2.2,2.3,2.33,2.38
441,1.57,2.29,2.2,2.3,2.33,2.38
442,1.57,2.29,2.2,2.3,2.34,2.37
443,1.57,2.3,2.2,2.29,2.34,2.37
444,1.58,2.29,2.2,2.29,2.34,2.37
445,1.58,2.29,2.2,2.3,2.33,2.37
446,1.58,2.29,2.2,2.3,2.33,2.38
447,1.58,2.29,2.2,2.3,2.34,2.37
448,1.58,2.29,2.21,2.29,2.34,2.37
449,1.58,2.3,2.2,2.29,2.34,2.37
450,1.59,2.29,2.2,2.3,2.33,2.38
451,1.59,2.29,2.2,2.3,2.33,2.38
452,1.59,2.29,2.2,2.3,2.33,2.38
453,1.59,2.3,2.2,2.29,2.34,2.37
454,1.59,2.3,2.2,2.29,2.34,2.37
455,1.6,2.29,2.2,2.3,2.33,2.37
456,1.6,2.29,2.2,2.3,2.33,2.38
457,1.6,2.29,2.2,2.3,2.34,2.37
458,1.6,2.29,2.2,2.3,2.33,2.38
459,1.6,2.29,2.21,2.29,2.34,2.37
460,1.61,2.29,2.2,2.29,2.34,2.37
461,1.61,2.29,2.2,2.3,2.33,2.37
462,1.61,2.29,2.2,2.3,2.33,2.38
463,1.61,2.29,2.2,2.3,2.33,2.38
464,1.61,2.29,2.21,2.29,2.34,2.37
465,1.61,2.3,2.2,2.29,2.34,2.37
466,1.62,2.29,2.2,2.3,2.33,2.37
467,1.62,2.29,2.2,2.3,2.33,2.38
468,1.62,2.29,2.2,2.3,2.33,2.38
469,1.62,2.29,2.2,2.3,2.34,2.37
470,1.62,2.29,2.21,2.29,2.34,2.37
471,1.63,2.29,2.2,2.3,2.33,2.37
472,1.63,2.29,2.2,2.3,2.33,2.37
473,1.63,2.29,2.2,2.3,2.33,2.37
474,1.63,2.29,2.2,2.3,2.34,2.37
475,1.63,2.3,2.2,2.29,2.34,2.37
476,1.64,2.29,2.2,2.29,2.34,2.37
477,1.64,2.29,2.2,2.3,2.33,2.37
478,1.64,2.29,2.2,2.3,2.33,2.37
479,1.64,2.29,2.2,2.3,2.34,2.37
480,1.64,2.29,2.2,2.3,2.34,2.37
481,1.64,2.3,2.2,2.29,2.34,2.37
482,1.65,2.29,2.2,2.3,2.33,2.37
483,1.65,2.29,2.2,2.3,2.33,2.37
484,1.65,2.29,2.2,2.3,2.33,2.38
485,1.65,2.29,2.2,2.3,2.34,2.37
486,1.65,2.29,2.2,2.3,2.34,2.37
487,1.66,2.29,2.2,2.29,2.34,2.37
488,1.66,2.29,2.2,2.3,2.33,2.37
489,1.66,2.29,2.2,2.3,2.33,2.38
490,1.66,2.29,2.2,2.3,2.33,2.38
491,1.66,2.3,2.19,2.3,2.34,2.37
492,1.66,2.3,2.19,2.3,2.34,2.37
493,1.67,2.29,2.2,2.3,2.33,2.37
494,1.67,2.29,2.2,2.3,2.33,2.37
495,1.67,2.29,2.2,2.3,2.33,2.37
496,1.67,2.29,2.2,2.3,2.33,2.38
497,1.67,2.29,2.2,2.3,2.34,2.37
498,1.67,2.3,2.2,2.29,2.34,2.37
499,1.68,2.29,2.2,2.3,2.33,2.37
500,1.68,2.29,2.2,2.3,2.33,2.37
501,1.68,2.29,2.2,2.3,2.33,2.38
502,1.68,2.3,2.19,2.3,2.33,2.38
503,1.68,2.3,2.2,2.29,2.34,2.37
504,1.69,2.29,2.2,2.3,2.33,2.37
505,1.69,2.29,2.2,2.3,2.33,2.37
506,1.69,2.29,2.2,2.3,2.33,2.37
507,1.69,2.3,2.19,2.3,2.33,2.38
508,1.69,2.3,2.19,2.3,2.34,2.37
509,1.7,2.29,2.2,2.3,2.33,2.37
510,1.7,2.29,2.2,2.3,2.33,2.37
511,1.7,2.29,2.2,2.3,2.33,2.37
512,1.7,2.29,2.2,2.3,2.33,2.38
513,1.7,2.3,2.19,2.3,2.33,2.38
514,1.7,2.3,2.19,2.31,2.32,2.38
515,1.71,2.29,2.2,2.3,2.32,2.38
516,1.71,2.29,2.2,2.3,2.33,2.37
517,1.71,2.29,2.2,2.3,2.33,2.38
518,1.71,2.3,2.19,2.3,2.33,2.38
519,1.71,2.3,2.2,2.29,2.33,2.38
520,1.72,2.29,2.2,2.29,2.33,2.38
521,1.72,2.29,2.2,2.3,2.32,2.38
522,1.72,2.29,2.2,2.3,2.33,2.37
523,1.72,2.29,2.2,2.3,2.33,2.38
524,1.72,2.3,2.19,2.3,2.33,2.38
525,1.72,2.3,2.19,2.3,2.33,2.38
526,1.73,2.29,2.2,2.29,2.33,2.38
527,1.73,2.29,2.2,2.3,2.33,2.37
528,1.73,2.29,2.2,2.3,2.33,2.38
529,1.73,2.3,2.19,2.3,2.33,2.38
530,1.73,2.3,2.19,2.3,2.33,2.38
531,1.73,2.3,2.2,2.29,2.33,2.38
532,1.74,2.29,2.2,2.3,2.32,2.38
533,1.74,2.29,2.2,2.3,2.33,2.37
